"verb","verb_category","cognate_bin","cognate","Score","bias"
"bind","arm",1,"binda",0.888888888888889,4.3448275862069
"brush","arm",0,"",0.888888888888889,5.31034482758621
"carve","arm",1,"karva",0.777777777777778,5.17241379310345
"catch","arm",0,"",1,5
"chop","arm",0,"",0.833333333333333,5.44827586206897
"clap","arm",1,"klappa",1,5.86206896551724
"clean","arm",0,"",1,4.72413793103448
"click","arm",1,"klicka",0.944444444444444,5.37931034482759
"dig","arm",0,"",0.944444444444444,4.55172413793103
"dunk","arm",1,"dunka",0.722222222222222,4.20689655172414
"fold","arm",0,"",0.944444444444444,4.41379310344828
"gesture","arm",1,"gestikulera",0.909090909090909,4.66666666666667
"grab","arm",1,"grabba",1,5.58620689655172
"grip","arm",1,"gripa, greppa",0.833333333333333,4.68965517241379
"hug","arm",0,"",1,5.58333333333333
"knock","arm",1,"knacka",1,5.44827586206897
"pat","arm",0,"",0.777777777777778,4.86206896551724
"peel","arm",0,"",0.944444444444444,5.24137931034483
"pinch","arm",0,"",0.888888888888889,5.41379310344828
"pluck","arm",1,"plocka",0.722222222222222,4.62068965517241
"poke","arm",0,"",0.833333333333333,4.93103448275862
"polish","arm",1,"polera",1,5.62068965517241
"pull","arm",0,"",0.944444444444444,4.82758620689655
"punch","arm",0,"",0.944444444444444,5.27586206896552
"push","arm",0,"",1,4.55172413793103
"rub","arm",0,"",0.888888888888889,5.13793103448276
"scoop","arm",1,"skopa",0.705882352941177,4.62068965517241
"scrape","arm",1,"skrapa",0.777777777777778,4.10344827586207
"scratch","arm",0,"",0.944444444444444,5.20689655172414
"scrub","arm",1,"skrubba",0.777777777777778,4.89655172413793
"shake","arm",1,"skaka",1,4.13793103448276
"sign","arm",1,"signera",1,5.58333333333333
"slap","arm",0,"",0.944444444444444,5.17241379310345
"snatch","arm",0,"",0.705882352941177,4.86206896551724
"squeeze","arm",0,"",0.944444444444444,4.31034482758621
"stab","arm",0,"",0.944444444444444,5.58620689655172
"throw","arm",0,"",0.944444444444444,5.68965517241379
"whip","arm",0,"",0.888888888888889,5.20689655172414
"wipe","arm",0,"",0.833333333333333,5.03448275862069
"wrap","arm",0,"",0.823529411764706,4.41379310344828
"bounce","leg",0,"",0.944444444444444,-3.13793103448276
"cycle","leg",1,"cykla",0.666666666666667,-3.08333333333333
"dance","leg",1,"dansa",1,-1.93103448275862
"flee","leg",1,"fly",0.944444444444444,-4.79310344827586
"glide","leg",1,"glida",0.944444444444444,-3.37931034482759
"hike","leg",0,"",0.833333333333333,-3.72413793103448
"hop","leg",1,"hoppa",0.888888888888889,-4.93103448275862
"jog","leg",1,"jogga",0.888888888888889,-4.82758620689655
"jump","leg",0,"",1,-5.44827586206897
"kick","leg",0,"",0.888888888888889,-5.17241379310345
"kneel","leg",1,"knäa",0.75,-4.89655172413793
"leap","leg",-99,"löpa",0.611111111111111,-4.86206896551724
"limp","leg",0,"",0.833333333333333,-4.96551724137931
"march","leg",1,"marschera",1,-4.41379310344828
"pedal","leg",0,"",0.5,-3.58333333333333
"run","leg",0,"",1,-5.51724137931035
"rush","leg",-99,"rusa",0.944444444444444,-5.20689655172414
"skate","leg",1,"skejta",0.944444444444444,-5.06896551724138
"skip","leg",0,"",0.882352941176471,-4.20689655172414
"slide","leg",0,"",0.941176470588235,-3.06896551724138
"slip","leg",0,"",0.944444444444444,-4.37931034482759
"sneak","leg",0,"",0.888888888888889,-4.06896551724138
"sprint","leg",1,"sprinta",0.888888888888889,-5.27586206896552
"squat","leg",0,"",0.7,-4.41666666666667
"stand","leg",1,"stå",1,-5.41666666666667
"step","leg",0,"",0.9375,-5.93103448275862
"stomp","leg",1,"stampa",0.888888888888889,-5.48275862068965
"stray","leg",0,"",0.611111111111111,-3.96551724137931
"stride","leg",0,"",0.416666666666667,-3.86206896551724
"stroll","leg",0,"",0.823529411764706,-5.48275862068965
"strut","leg",1,"strutta",0.611111111111111,-4.86206896551724
"stumble","leg",0,"",0.705882352941177,-5.48275862068965
"tiptoe","leg",0,"",0.944444444444444,-5.51724137931035
"tramp","leg",1,"trampa",0.5,-3
"trample","leg",1,"trampa",0.416666666666667,-3.16666666666667
"trek","leg",0,"",0.666666666666667,-2.91666666666667
"trip","leg",1,"trippa",0.888888888888889,-5.3448275862069
"wade","leg",1,"vada",0.777777777777778,-3.72413793103448
"walk","leg",0,"",1,-5.68965517241379
"wander","leg",1,"vandra",0.888888888888889,-5.03448275862069
