"type","verb"
"arm","bind"
"arm","brush"
"arm","carve"
"arm","catch"
"arm","chop"
"arm","clap"
"arm","clean"
"arm","click"
"arm","dig"
"arm","dunk"
"arm","fold"
"arm","gesture"
"arm","grab"
"arm","grip"
"arm","hug"
"arm","knock"
"arm","pat"
"arm","peel"
"arm","pinch"
"arm","pluck"
"arm","poke"
"arm","polish"
"arm","pull"
"arm","punch"
"arm","push"
"arm","rub"
"arm","scoop"
"arm","scrape"
"arm","scratch"
"arm","scrub"
"arm","shake"
"arm","sign"
"arm","slap"
"arm","snatch"
"arm","squeeze"
"arm","stab"
"arm","throw"
"arm","whip"
"arm","wipe"
"arm","wrap"
"leg","bounce"
"leg","cycle"
"leg","dance"
"leg","flee"
"leg","glide"
"leg","hike"
"leg","hop"
"leg","jog"
"leg","jump"
"leg","kick"
"leg","kneel"
"leg","leap"
"leg","limp"
"leg","march"
"leg","pedal"
"leg","run"
"leg","rush"
"leg","skate"
"leg","skip"
"leg","slide"
"leg","slip"
"leg","sneak"
"leg","sprint"
"leg","squat"
"leg","stand"
"leg","step"
"leg","stomp"
"leg","stray"
"leg","stride"
"leg","stroll"
"leg","strut"
"leg","stumble"
"leg","tiptoe"
"leg","tramp"
"leg","trample"
"leg","trek"
"leg","trip"
"leg","wade"
"leg","walk"
"leg","wander"
